id,p,percolation,blackCount,concentrationRate,averageBlackCellInRow,averageBlackCellInColumn,zeroRowCount,zeroColumnCount
100,0.2,false,538,0.2152,10.76,10.76,0,0
101,0.2,false,522,0.2088,10.44,10.44,0,0
102,0.2,false,499,0.1996,9.98,9.98,0,0
103,0.2,false,492,0.1968,9.84,9.84,0,0
104,0.2,false,486,0.1944,9.72,9.72,0,0
105,0.2,false,528,0.2112,10.56,10.56,0,0
106,0.2,false,482,0.1928,9.64,9.64,0,0
107,0.2,false,500,0.2,10.0,10.0,0,0
108,0.2,false,494,0.1976,9.88,9.88,0,0
109,0.2,false,510,0.204,10.2,10.2,0,0
110,0.2,false,489,0.1956,9.78,9.78,0,0
111,0.2,false,504,0.2016,10.08,10.08,0,0
112,0.2,false,508,0.2032,10.16,10.16,0,0
113,0.2,false,473,0.1892,9.46,9.46,0,0
114,0.2,false,508,0.2032,10.16,10.16,0,0
115,0.2,false,489,0.1956,9.78,9.78,0,0
116,0.2,false,484,0.1936,9.68,9.68,0,0
117,0.2,false,503,0.2012,10.06,10.06,0,0
118,0.2,false,515,0.206,10.3,10.3,0,0
119,0.2,false,498,0.1992,9.96,9.96,0,0
120,0.2,false,507,0.2028,10.14,10.14,0,0
121,0.2,false,471,0.1884,9.42,9.42,0,0
122,0.2,false,498,0.1992,9.96,9.96,0,0
123,0.2,false,527,0.2108,10.54,10.54,0,0
124,0.2,false,517,0.2068,10.34,10.34,0,0
125,0.2,false,475,0.19,9.5,9.5,0,0
126,0.2,false,529,0.2116,10.58,10.58,0,0
127,0.2,false,483,0.1932,9.66,9.66,0,0
128,0.2,false,504,0.2016,10.08,10.08,0,0
129,0.2,false,513,0.2052,10.26,10.26,0,0
130,0.2,false,449,0.1796,8.98,8.98,0,0
131,0.2,false,524,0.2096,10.48,10.48,0,0
132,0.2,false,510,0.204,10.2,10.2,0,0
133,0.2,false,513,0.2052,10.26,10.26,0,0
134,0.2,false,488,0.1952,9.76,9.76,0,0
135,0.2,false,505,0.202,10.1,10.1,0,0
136,0.2,false,502,0.2008,10.04,10.04,0,0
137,0.2,false,516,0.2064,10.32,10.32,0,0
138,0.2,false,504,0.2016,10.08,10.08,0,0
139,0.2,false,529,0.2116,10.58,10.58,0,0
140,0.2,false,505,0.202,10.1,10.1,0,0
141,0.2,false,502,0.2008,10.04,10.04,0,0
142,0.2,false,527,0.2108,10.54,10.54,0,0
143,0.2,false,479,0.1916,9.58,9.58,0,0
144,0.2,false,505,0.202,10.1,10.1,0,0
145,0.2,false,510,0.204,10.2,10.2,0,0
146,0.2,false,540,0.216,10.8,10.8,0,0
147,0.2,false,485,0.194,9.7,9.7,0,0
148,0.2,false,507,0.2028,10.14,10.14,0,0
149,0.2,false,538,0.2152,10.76,10.76,0,0
150,0.2,false,467,0.1868,9.34,9.34,0,0
151,0.2,false,466,0.1864,9.32,9.32,0,0
152,0.2,false,480,0.192,9.6,9.6,0,0
153,0.2,false,526,0.2104,10.52,10.52,0,0
154,0.2,false,466,0.1864,9.32,9.32,0,0
155,0.2,false,485,0.194,9.7,9.7,0,0
156,0.2,false,463,0.1852,9.26,9.26,0,0
157,0.2,false,476,0.1904,9.52,9.52,0,0
158,0.2,false,498,0.1992,9.96,9.96,0,0
159,0.2,false,518,0.2072,10.36,10.36,0,0
160,0.2,false,475,0.19,9.5,9.5,0,0
161,0.2,false,519,0.2076,10.38,10.38,0,0
162,0.2,false,507,0.2028,10.14,10.14,0,0
163,0.2,false,491,0.1964,9.82,9.82,0,0
164,0.2,false,516,0.2064,10.32,10.32,0,0
165,0.2,false,515,0.206,10.3,10.3,0,0
166,0.2,false,503,0.2012,10.06,10.06,0,0
167,0.2,false,492,0.1968,9.84,9.84,0,0
168,0.2,false,496,0.1984,9.92,9.92,0,0
169,0.2,false,491,0.1964,9.82,9.82,0,0
170,0.2,false,497,0.1988,9.94,9.94,0,0
171,0.2,false,488,0.1952,9.76,9.76,0,0
172,0.2,false,507,0.2028,10.14,10.14,0,0
173,0.2,false,504,0.2016,10.08,10.08,0,0
174,0.2,false,508,0.2032,10.16,10.16,0,0
175,0.2,false,510,0.204,10.2,10.2,0,0
176,0.2,false,493,0.1972,9.86,9.86,0,0
177,0.2,false,490,0.196,9.8,9.8,0,0
178,0.2,false,496,0.1984,9.92,9.92,0,0
179,0.2,false,493,0.1972,9.86,9.86,0,0
180,0.2,false,504,0.2016,10.08,10.08,0,0
181,0.2,false,507,0.2028,10.14,10.14,0,0
182,0.2,false,492,0.1968,9.84,9.84,0,0
183,0.2,false,480,0.192,9.6,9.6,0,0
184,0.2,false,526,0.2104,10.52,10.52,0,0
185,0.2,false,501,0.2004,10.02,10.02,0,0
186,0.2,false,491,0.1964,9.82,9.82,0,0
187,0.2,false,514,0.2056,10.28,10.28,0,0
188,0.2,false,475,0.19,9.5,9.5,0,0
189,0.2,false,480,0.192,9.6,9.6,0,0
190,0.2,false,480,0.192,9.6,9.6,0,0
191,0.2,false,508,0.2032,10.16,10.16,0,0
192,0.2,false,537,0.2148,10.74,10.74,0,0
193,0.2,false,518,0.2072,10.36,10.36,0,0
194,0.2,false,478,0.1912,9.56,9.56,0,0
195,0.2,false,511,0.2044,10.22,10.22,0,0
196,0.2,false,466,0.1864,9.32,9.32,0,0
197,0.2,false,508,0.2032,10.16,10.16,0,0
198,0.2,false,475,0.19,9.5,9.5,0,0
199,0.2,false,512,0.2048,10.24,10.24,0,0
200,0.2,false,501,0.2004,10.02,10.02,0,0
201,0.2,false,474,0.1896,9.48,9.48,0,0
202,0.2,false,495,0.198,9.9,9.9,0,0
203,0.2,false,524,0.2096,10.48,10.48,0,0
204,0.2,false,506,0.2024,10.12,10.12,0,0
205,0.2,false,496,0.1984,9.92,9.92,0,0
206,0.2,false,506,0.2024,10.12,10.12,0,0
207,0.2,false,517,0.2068,10.34,10.34,0,0
208,0.2,false,489,0.1956,9.78,9.78,0,0
209,0.2,false,492,0.1968,9.84,9.84,0,0
210,0.2,false,502,0.2008,10.04,10.04,0,0
211,0.2,false,493,0.1972,9.86,9.86,0,0
212,0.2,false,506,0.2024,10.12,10.12,0,0
213,0.2,false,507,0.2028,10.14,10.14,0,0
214,0.2,false,490,0.196,9.8,9.8,0,0
215,0.2,false,511,0.2044,10.22,10.22,0,0
216,0.2,false,523,0.2092,10.46,10.46,0,0
217,0.2,false,498,0.1992,9.96,9.96,0,0
218,0.2,false,514,0.2056,10.28,10.28,0,0
219,0.2,false,487,0.1948,9.74,9.74,0,0
220,0.2,false,481,0.1924,9.62,9.62,0,0
221,0.2,false,470,0.188,9.4,9.4,0,0
222,0.2,false,480,0.192,9.6,9.6,0,0
223,0.2,false,510,0.204,10.2,10.2,0,0
224,0.2,false,495,0.198,9.9,9.9,0,0
225,0.2,false,520,0.208,10.4,10.4,0,0
226,0.2,false,459,0.1836,9.18,9.18,0,0
227,0.2,false,512,0.2048,10.24,10.24,0,0
228,0.2,false,529,0.2116,10.58,10.58,0,0
229,0.2,false,501,0.2004,10.02,10.02,0,0
230,0.2,false,519,0.2076,10.38,10.38,0,0
231,0.2,false,522,0.2088,10.44,10.44,0,0
232,0.2,false,496,0.1984,9.92,9.92,0,0
233,0.2,false,484,0.1936,9.68,9.68,0,0
234,0.2,false,538,0.2152,10.76,10.76,0,0
235,0.2,false,480,0.192,9.6,9.6,0,0
236,0.2,false,492,0.1968,9.84,9.84,0,0
237,0.2,false,501,0.2004,10.02,10.02,0,0
238,0.2,false,503,0.2012,10.06,10.06,0,0
239,0.2,false,511,0.2044,10.22,10.22,0,0
240,0.2,false,488,0.1952,9.76,9.76,0,0
241,0.2,false,504,0.2016,10.08,10.08,0,0
242,0.2,false,506,0.2024,10.12,10.12,0,0
243,0.2,false,517,0.2068,10.34,10.34,0,0
244,0.2,false,486,0.1944,9.72,9.72,0,0
245,0.2,false,509,0.2036,10.18,10.18,0,0
246,0.2,false,521,0.2084,10.42,10.42,0,0
247,0.2,false,507,0.2028,10.14,10.14,0,0
248,0.2,false,502,0.2008,10.04,10.04,0,0
249,0.2,false,472,0.1888,9.44,9.44,0,0
250,0.2,false,479,0.1916,9.58,9.58,0,0
251,0.2,false,518,0.2072,10.36,10.36,0,0
252,0.2,false,508,0.2032,10.16,10.16,0,0
253,0.2,false,532,0.2128,10.64,10.64,0,0
254,0.2,false,522,0.2088,10.44,10.44,0,0
255,0.2,false,506,0.2024,10.12,10.12,0,0
256,0.2,false,577,0.2308,11.54,11.54,0,0
257,0.2,false,497,0.1988,9.94,9.94,0,0
258,0.2,false,492,0.1968,9.84,9.84,0,0
259,0.2,false,509,0.2036,10.18,10.18,0,0
260,0.2,false,508,0.2032,10.16,10.16,0,0
261,0.2,false,496,0.1984,9.92,9.92,0,0
262,0.2,false,447,0.1788,8.94,8.94,0,0
263,0.2,false,512,0.2048,10.24,10.24,0,0
264,0.2,false,492,0.1968,9.84,9.84,0,0
265,0.2,false,475,0.19,9.5,9.5,0,0
266,0.2,false,498,0.1992,9.96,9.96,0,0
267,0.2,false,488,0.1952,9.76,9.76,0,0
268,0.2,false,532,0.2128,10.64,10.64,0,0
269,0.2,false,481,0.1924,9.62,9.62,0,0
270,0.2,false,529,0.2116,10.58,10.58,0,0
271,0.2,false,484,0.1936,9.68,9.68,0,0
272,0.2,false,497,0.1988,9.94,9.94,0,0
273,0.2,false,519,0.2076,10.38,10.38,0,0
274,0.2,false,504,0.2016,10.08,10.08,0,0
275,0.2,false,529,0.2116,10.58,10.58,0,0
276,0.2,false,520,0.208,10.4,10.4,0,0
277,0.2,false,472,0.1888,9.44,9.44,0,0
278,0.2,false,463,0.1852,9.26,9.26,0,0
279,0.2,false,512,0.2048,10.24,10.24,0,0
280,0.2,false,495,0.198,9.9,9.9,0,0
281,0.2,false,531,0.2124,10.62,10.62,0,0
282,0.2,false,497,0.1988,9.94,9.94,0,0
283,0.2,false,490,0.196,9.8,9.8,0,0
284,0.2,false,502,0.2008,10.04,10.04,0,0
285,0.2,false,464,0.1856,9.28,9.28,0,0
286,0.2,false,480,0.192,9.6,9.6,0,0
287,0.2,false,519,0.2076,10.38,10.38,0,0
288,0.2,false,464,0.1856,9.28,9.28,0,0
289,0.2,false,486,0.1944,9.72,9.72,0,0
290,0.2,false,509,0.2036,10.18,10.18,0,0
291,0.2,false,468,0.1872,9.36,9.36,0,0
292,0.2,false,536,0.2144,10.72,10.72,0,0
293,0.2,false,499,0.1996,9.98,9.98,0,0
294,0.2,false,497,0.1988,9.94,9.94,0,0
295,0.2,false,511,0.2044,10.22,10.22,0,0
296,0.2,false,493,0.1972,9.86,9.86,0,0
297,0.2,false,516,0.2064,10.32,10.32,0,0
298,0.2,false,512,0.2048,10.24,10.24,0,0
299,0.2,false,487,0.1948,9.74,9.74,0,0
300,0.2,false,504,0.2016,10.08,10.08,0,0
301,0.2,false,495,0.198,9.9,9.9,0,0
302,0.2,false,518,0.2072,10.36,10.36,0,0
303,0.2,false,469,0.1876,9.38,9.38,0,0
304,0.2,false,482,0.1928,9.64,9.64,0,0
305,0.2,false,496,0.1984,9.92,9.92,0,0
306,0.2,false,526,0.2104,10.52,10.52,0,0
307,0.2,false,520,0.208,10.4,10.4,0,0
308,0.2,false,503,0.2012,10.06,10.06,0,0
309,0.2,false,536,0.2144,10.72,10.72,0,0
310,0.2,false,499,0.1996,9.98,9.98,0,0
311,0.2,false,516,0.2064,10.32,10.32,0,0
312,0.2,false,481,0.1924,9.62,9.62,0,0
313,0.2,false,481,0.1924,9.62,9.62,0,0
314,0.2,false,507,0.2028,10.14,10.14,0,0
315,0.2,false,497,0.1988,9.94,9.94,0,0
316,0.2,false,518,0.2072,10.36,10.36,0,0
317,0.2,false,519,0.2076,10.38,10.38,0,0
318,0.2,false,505,0.202,10.1,10.1,0,0
319,0.2,false,487,0.1948,9.74,9.74,0,0
320,0.2,false,477,0.1908,9.54,9.54,0,0
321,0.2,false,464,0.1856,9.28,9.28,0,0
322,0.2,false,486,0.1944,9.72,9.72,0,0
323,0.2,false,521,0.2084,10.42,10.42,0,0
324,0.2,false,498,0.1992,9.96,9.96,0,0
325,0.2,false,508,0.2032,10.16,10.16,0,0
326,0.2,false,518,0.2072,10.36,10.36,0,0
327,0.2,false,512,0.2048,10.24,10.24,0,0
328,0.2,false,473,0.1892,9.46,9.46,0,0
329,0.2,false,487,0.1948,9.74,9.74,0,0
330,0.2,false,496,0.1984,9.92,9.92,0,0
331,0.2,false,529,0.2116,10.58,10.58,0,0
332,0.2,false,486,0.1944,9.72,9.72,0,0
333,0.2,false,514,0.2056,10.28,10.28,0,0
334,0.2,false,519,0.2076,10.38,10.38,0,0
335,0.2,false,515,0.206,10.3,10.3,0,0
336,0.2,false,485,0.194,9.7,9.7,0,0
337,0.2,false,510,0.204,10.2,10.2,0,0
338,0.2,false,499,0.1996,9.98,9.98,0,0
339,0.2,false,550,0.22,11.0,11.0,0,0
340,0.2,false,527,0.2108,10.54,10.54,0,0
341,0.2,false,509,0.2036,10.18,10.18,0,0
342,0.2,false,523,0.2092,10.46,10.46,0,0
343,0.2,false,494,0.1976,9.88,9.88,0,0
344,0.2,false,489,0.1956,9.78,9.78,0,0
345,0.2,false,513,0.2052,10.26,10.26,0,0
346,0.2,false,537,0.2148,10.74,10.74,0,0
347,0.2,false,505,0.202,10.1,10.1,0,0
348,0.2,false,505,0.202,10.1,10.1,0,0
349,0.2,false,484,0.1936,9.68,9.68,0,0
350,0.2,false,506,0.2024,10.12,10.12,0,0
351,0.2,false,510,0.204,10.2,10.2,0,0
352,0.2,false,498,0.1992,9.96,9.96,0,0
353,0.2,false,459,0.1836,9.18,9.18,0,0
354,0.2,false,502,0.2008,10.04,10.04,0,0
355,0.2,false,506,0.2024,10.12,10.12,0,0
356,0.2,false,494,0.1976,9.88,9.88,0,0
357,0.2,false,506,0.2024,10.12,10.12,0,0
358,0.2,false,540,0.216,10.8,10.8,0,0
359,0.2,false,537,0.2148,10.74,10.74,0,0
360,0.2,false,500,0.2,10.0,10.0,0,0
361,0.2,false,532,0.2128,10.64,10.64,0,0
362,0.2,false,499,0.1996,9.98,9.98,0,0
363,0.2,false,543,0.2172,10.86,10.86,0,0
364,0.2,false,478,0.1912,9.56,9.56,0,0
365,0.2,false,500,0.2,10.0,10.0,0,0
366,0.2,false,495,0.198,9.9,9.9,0,0
367,0.2,false,470,0.188,9.4,9.4,0,0
368,0.2,false,485,0.194,9.7,9.7,0,0
369,0.2,false,522,0.2088,10.44,10.44,0,0
370,0.2,false,493,0.1972,9.86,9.86,0,0
371,0.2,false,491,0.1964,9.82,9.82,0,0
372,0.2,false,510,0.204,10.2,10.2,0,0
373,0.2,false,454,0.1816,9.08,9.08,0,0
374,0.2,false,512,0.2048,10.24,10.24,0,0
375,0.2,false,526,0.2104,10.52,10.52,0,0
376,0.2,false,477,0.1908,9.54,9.54,0,0
377,0.2,false,496,0.1984,9.92,9.92,0,0
378,0.2,false,487,0.1948,9.74,9.74,0,0
379,0.2,false,535,0.214,10.7,10.7,0,0
380,0.2,false,488,0.1952,9.76,9.76,0,0
381,0.2,false,502,0.2008,10.04,10.04,0,0
382,0.2,false,501,0.2004,10.02,10.02,0,0
383,0.2,false,504,0.2016,10.08,10.08,0,0
384,0.2,false,484,0.1936,9.68,9.68,0,0
385,0.2,false,516,0.2064,10.32,10.32,0,0
386,0.2,false,474,0.1896,9.48,9.48,0,0
387,0.2,false,497,0.1988,9.94,9.94,0,0
388,0.2,false,508,0.2032,10.16,10.16,0,0
389,0.2,false,509,0.2036,10.18,10.18,0,0
390,0.2,false,478,0.1912,9.56,9.56,0,0
391,0.2,false,482,0.1928,9.64,9.64,0,0
392,0.2,false,483,0.1932,9.66,9.66,0,0
393,0.2,false,499,0.1996,9.98,9.98,0,0
394,0.2,false,500,0.2,10.0,10.0,0,0
395,0.2,false,499,0.1996,9.98,9.98,0,0
396,0.2,false,504,0.2016,10.08,10.08,0,0
397,0.2,false,537,0.2148,10.74,10.74,0,0
398,0.2,false,506,0.2024,10.12,10.12,0,0
399,0.2,false,491,0.1964,9.82,9.82,0,0
400,0.2,false,475,0.19,9.5,9.5,0,0
401,0.2,false,520,0.208,10.4,10.4,0,0
402,0.2,false,480,0.192,9.6,9.6,0,0
403,0.2,false,505,0.202,10.1,10.1,0,0
404,0.2,false,477,0.1908,9.54,9.54,0,0
405,0.2,false,468,0.1872,9.36,9.36,0,0
406,0.2,false,538,0.2152,10.76,10.76,0,0
407,0.2,false,526,0.2104,10.52,10.52,0,0
408,0.2,false,482,0.1928,9.64,9.64,0,0
409,0.2,false,536,0.2144,10.72,10.72,0,0
410,0.2,false,490,0.196,9.8,9.8,0,0
411,0.2,false,486,0.1944,9.72,9.72,0,0
412,0.2,false,481,0.1924,9.62,9.62,0,0
413,0.2,false,514,0.2056,10.28,10.28,0,0
414,0.2,false,534,0.2136,10.68,10.68,0,0
415,0.2,false,480,0.192,9.6,9.6,0,0
416,0.2,false,511,0.2044,10.22,10.22,0,0
417,0.2,false,502,0.2008,10.04,10.04,0,0
418,0.2,false,532,0.2128,10.64,10.64,0,0
419,0.2,false,494,0.1976,9.88,9.88,0,0
420,0.2,false,483,0.1932,9.66,9.66,0,0
421,0.2,false,502,0.2008,10.04,10.04,0,0
422,0.2,false,475,0.19,9.5,9.5,0,0
423,0.2,false,500,0.2,10.0,10.0,0,0
424,0.2,false,472,0.1888,9.44,9.44,0,0
425,0.2,false,504,0.2016,10.08,10.08,0,0
426,0.2,false,501,0.2004,10.02,10.02,0,0
427,0.2,false,458,0.1832,9.16,9.16,0,0
428,0.2,false,501,0.2004,10.02,10.02,0,0
429,0.2,false,490,0.196,9.8,9.8,0,0
430,0.2,false,436,0.1744,8.72,8.72,0,0
431,0.2,false,483,0.1932,9.66,9.66,0,0
432,0.2,false,495,0.198,9.9,9.9,0,0
433,0.2,false,500,0.2,10.0,10.0,0,0
434,0.2,false,500,0.2,10.0,10.0,0,0
435,0.2,false,519,0.2076,10.38,10.38,0,0
436,0.2,false,521,0.2084,10.42,10.42,0,0
437,0.2,false,507,0.2028,10.14,10.14,0,0
438,0.2,false,460,0.184,9.2,9.2,0,0
439,0.2,false,476,0.1904,9.52,9.52,0,0
440,0.2,false,488,0.1952,9.76,9.76,0,0
441,0.2,false,473,0.1892,9.46,9.46,0,0
442,0.2,false,506,0.2024,10.12,10.12,0,0
443,0.2,false,523,0.2092,10.46,10.46,0,0
444,0.2,false,501,0.2004,10.02,10.02,0,0
445,0.2,false,516,0.2064,10.32,10.32,0,0
446,0.2,false,502,0.2008,10.04,10.04,0,0
447,0.2,false,518,0.2072,10.36,10.36,0,0
448,0.2,false,524,0.2096,10.48,10.48,0,0
449,0.2,false,530,0.212,10.6,10.6,0,0
450,0.2,false,511,0.2044,10.22,10.22,0,0
451,0.2,false,492,0.1968,9.84,9.84,0,0
452,0.2,false,469,0.1876,9.38,9.38,0,0
453,0.2,false,492,0.1968,9.84,9.84,0,0
454,0.2,false,464,0.1856,9.28,9.28,0,0
455,0.2,false,517,0.2068,10.34,10.34,0,0
456,0.2,false,465,0.186,9.3,9.3,0,0
457,0.2,false,501,0.2004,10.02,10.02,0,0
458,0.2,false,502,0.2008,10.04,10.04,0,0
459,0.2,false,493,0.1972,9.86,9.86,0,0
460,0.2,false,521,0.2084,10.42,10.42,0,0
461,0.2,false,498,0.1992,9.96,9.96,0,0
462,0.2,false,490,0.196,9.8,9.8,0,0
463,0.2,false,487,0.1948,9.74,9.74,0,0
464,0.2,false,524,0.2096,10.48,10.48,0,0
465,0.2,false,511,0.2044,10.22,10.22,0,0
466,0.2,false,480,0.192,9.6,9.6,0,0
467,0.2,false,510,0.204,10.2,10.2,0,0
468,0.2,false,488,0.1952,9.76,9.76,0,0
469,0.2,false,509,0.2036,10.18,10.18,0,0
470,0.2,false,523,0.2092,10.46,10.46,0,0
471,0.2,false,508,0.2032,10.16,10.16,0,0
472,0.2,false,516,0.2064,10.32,10.32,0,0
473,0.2,false,534,0.2136,10.68,10.68,0,0
474,0.2,false,514,0.2056,10.28,10.28,0,0
475,0.2,false,518,0.2072,10.36,10.36,0,0
476,0.2,false,489,0.1956,9.78,9.78,0,0
477,0.2,false,506,0.2024,10.12,10.12,0,0
478,0.2,false,483,0.1932,9.66,9.66,0,0
479,0.2,false,492,0.1968,9.84,9.84,0,0
480,0.2,false,477,0.1908,9.54,9.54,0,0
481,0.2,false,506,0.2024,10.12,10.12,0,0
482,0.2,false,454,0.1816,9.08,9.08,0,0
483,0.2,false,491,0.1964,9.82,9.82,0,0
484,0.2,false,478,0.1912,9.56,9.56,0,0
485,0.2,false,518,0.2072,10.36,10.36,0,0
486,0.2,false,496,0.1984,9.92,9.92,0,0
487,0.2,false,489,0.1956,9.78,9.78,0,0
488,0.2,false,475,0.19,9.5,9.5,0,0
489,0.2,false,458,0.1832,9.16,9.16,0,0
490,0.2,false,492,0.1968,9.84,9.84,0,0
491,0.2,false,504,0.2016,10.08,10.08,0,0
492,0.2,false,518,0.2072,10.36,10.36,0,0
493,0.2,false,488,0.1952,9.76,9.76,0,0
494,0.2,false,488,0.1952,9.76,9.76,0,0
495,0.2,false,529,0.2116,10.58,10.58,0,0
496,0.2,false,467,0.1868,9.34,9.34,0,0
497,0.2,false,464,0.1856,9.28,9.28,0,0
498,0.2,false,489,0.1956,9.78,9.78,0,0
499,0.2,false,485,0.194,9.7,9.7,0,0
